"dyad","start_date","end_date","intended_duration","part_of_process","time_rel_process","unilat","dyadName"
"623",1989-02-28,1989-03-10,"Premliminary","Yes","1","Unilateral","Government of Colombia - FARC"
"623",1999-12-20,2000-01-10,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"623",2012-11-20,2013-01-20,"Premliminary","Yes","1","Unilateral","Government of Colombia - FARC"
"623",2013-12-15,2014-01-15,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"623",2014-05-20,2014-05-28,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"623",2014-06-09,2014-06-30,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"623",2014-12-20,2015-05-22,"Premliminary","Yes","2","Unilateral","Government of Colombia - FARC"
"623",2015-07-20,2015-08-19,"Premliminary","Yes","2","Unilateral","Government of Colombia - FARC"
"623",2015-08-20,2016-08-28,"Premliminary","Yes","2","Unilateral","Government of Colombia - FARC"
"623",2016-08-29,2016-10-02,"Permanent","Yes","3","Bilateral","Government of Colombia - FARC"
"623",2016-10-03,2016-10-12,"Premliminary","Yes","2","Bilateral","Government of Colombia - FARC"
"623",2016-10-13,2016-11-30,"Premliminary","Yes","2","Bilateral","Government of Colombia - FARC"
"623",2016-12-01,2017-08-15,"Permanent","Yes","3","Bilateral","Government of Colombia - FARC"
