"start_date","end_date","type","comment","dyad","id","dyad_name","type_name"
2018-06-15,2018-06-19,3,"ceasefire coded for the policy brief. Will not be part of the end result. 

Type_2: 3-election time truce",624,22,"Government of Colombia - ELN","Election"
2018-05-25,2018-05-29,3,"ceasefire coded for the policy brief. Will not be part of the end result. 

Type_2: 3-election time truce",624,21,"Government of Colombia - ELN","Election"
2018-03-09,2018-03-13,3,"ceasefire coded for the policy brief. Will not be part of the end result. 

Type_2: 3-election time truce",624,20,"Government of Colombia - ELN","Election"
2017-10-01,2018-01-09,2,"End_: ambuigty if end date is 12.01.2018 or 09.01.2018. However, as this is over our ""coded"" time, 
maybe not so important? As the ceasefire extended outside the coding period, many variables have gotten -1 for ""unclear/missing"". 

Implement: The cease-fire will be verified by a joint mechanism made up of Colombian security forces, ELN members, the UN and the Catholic Church, according to a joint statement by the government and the guerrilla. Agencia CMA( 29.09.2017). Colombia: Government and ELN urge UN to verify ceasefire. 
- During the temporary end to hostilities, announced during Pope Francis's visit to Colombia, kidnappings and attacks on oil infrastructure are to stop and be monitored by a UN body as well as the government, rebels and church.


",624,1,"Government of Colombia - ELN","Peace process"
2016-12-01,2017-08-15,2,"Link, link_ID:
It's a recommitment to the final ceasefire first declared the 29th of august and then reiterated in october after the referendum. 

CF_dec_date:
Since I'm not sure exactly when the previous ceasefire ended I'm setting the date to the day when the revised agreement was signed (Acuerdo final, 24.11.16; UN Security Council, 15.12.16).

Enforcement:
The enforcement mechanism is a trepartite cooperation between UN unarmed observers, FARC-EP and the Colombian government.
",623,2,"Government of Colombia - FARC","Peace process"
2016-10-13,2016-11-30,2,NA,623,3,"Government of Colombia - FARC","Peace process"
2016-10-03,2016-10-12,2,"Type_1 & type_1_time:
After the reiteration of the ceasefire President Santos announced that the extention would only last until 31th of october (Buenos Aires Herald, 14.10.2016; Manila Bulletin, 06.10.2018)

Mediator:
There's no evidence of mediators being involved between the referendum rejection and extention of the ceasefire

Link_ID:
Tied to the ceasefires between FARC and the colombian government from the 29th of august and from the 24th of november

Implementation, enforcement and DDR:
Since the agreement is an extention of the former I've assumed that these are the same.
",623,4,"Government of Colombia - FARC","Peace process"
2016-08-29,2016-10-02,2,"Declaration date and effect date:
The ceasefire part of the peace agreement was reached on the 22nd and signed the 23rd of june 2016 (Nicholas Casey, 22.06.2016). However this first agreement wouldn't actually begin unless there was a conclusion on the final peace agreement. Therefore I've set the declaration date to the actual order to cease fire, and the effect date to when it was set to start (see evidence_onset).

Link, link_ID:
Follow-up on the unilateral truce by FARC from 2015

Type_1 & Type_1_time:
To be replaced by the peace treaty.

Enforcement:
The enforcement mechanism is a trepartite cooperation between UN unarmed observers, FARC-EP and the Colombian government.

Ended/end date:
I set the 2nd of october as the end date because the no-vote of the referendum officially made it invalid. However, none of the codes in the variable ""ended"" captures this.
",623,5,"Government of Colombia - FARC","Peace process"
2015-08-20,2016-08-28,2,"News agencies have stated that the unilateral ceasefire declared in july 2015 was extended indefinetly, 
but no evidence can be found for how long. Evidence suggest that it lasted at least 3 months after it first was annouced 20 july 

",623,6,"Government of Colombia - FARC","Peace process"
2015-07-20,2015-08-19,2,NA,623,7,"Government of Colombia - FARC","Peace process"
2014-12-20,2015-05-22,2,"Implement: The guerrilla group called for international observers from  organizations including the Red Cross to monitor. 

the FARC has asked that the Union of South American Nations, the Community of Latin American and Caribbean States, the International Committee of the Red Cross and the Broad Front for Peace oversee the ceasefire.
Uncertain if implement should be coded when the ceasefire is unilateral and hence an agreement between two parties have not been made? ",623,8,"Government of Colombia - FARC","Peace process"
2014-06-09,2014-06-30,3,"type_2: 3 - election time truce",623,9,"Government of Colombia - FARC","Election"
2014-05-20,2014-05-28,3,"type_2: 3 - election time truce",623,10,"Government of Colombia - FARC","Election"
2014-05-20,2014-05-28,3,"type_2: 3 - election time truce",624,10,"Government of Colombia - ELN","Election"
2013-12-15,2014-01-15,3,"type_2: 3 - Holiday truce over christmas",623,11,"Government of Colombia - FARC","Religious / other"
2012-11-20,2013-01-20,2,NA,623,12,"Government of Colombia - FARC","Peace process"
